32	2	23	8	1	3	32	23	4	0	3

32	3	32	5	1	3	32	32	3	0	1

32	3	34	5	2	1	32	34	1	2	1

30	6	33	0	4	1	30	33	0	3	0

29	4	27	0	5	0	29	27	4	4	1

32	2	26	0	7	4	32	26	4	3	1

32	2	21	4	5	7	32	21	4	4	0

31	4	20	7	5	7	31	20	1	6	0

31	4	20	7	6	5	31	20	3	4	0

32	4	17	4	7	3	32	17	6	1	0

31	3	21	4	7	6	31	21	5	0	0

31	3	22	5	2	5	31	22	4	1	0

30	4	27	4	5	5	30	27	1	1	1

33	3	29	4	6	5	33	29	5	1	2

31	5	31	3	6	4	31	31	5	1	2

33	5	32	5	4	5	33	32	5	2	1

32	7	31	5	5	3	32	31	3	4	3

31	3	23	4	5	3	31	23	5	3	3

31	3	24	6	4	2	31	24	5	4	3

31	3	26	8	0	3	31	26	1	2	0

31	0	35	9	0	3	31	35	0	5	0

31	0	34	5	0	1	31	34	0	6	0

31	3	21	1	2	0	31	21	0	5	2

30	3	19	0	4	2	30	19	4	3	2

32	3	20	4	4	6	32	20	4	1	1

32	4	24	6	3	6	32	24	4	2	0

32	5	25	8	2	7	32	25	0	4	2

34	8	25	7	7	7	34	25	4	3	2

33	8	27	10	6	10	33	27	4	0	1

31	6	28	13	9	7	31	28	4	3	0

32	6	26	9	7	6	32	26	3	2	1

32	3	25	8	6	4	32	25	2	3	1

31	2	25	4	5	9	31	25	5	1	3

32	3	32	7	2	9	32	32	3	2	2

32	3	31	4	7	8	32	31	1	4	1

30	2	24	2	6	6	30	24	2	4	1

31	0	19	0	8	5	31	19	2	4	1

31	1	12	3	4	10	31	12	2	2	3

30	1	21	4	3	6	30	21	0	1	1

32	2	26	4	2	6	32	26	1	2	3

33	4	29	0	4	1	33	29	1	3	2

33	5	26	2	7	3	33	26	6	22	4

34	4	28	5	8	5	34	28	5	21	3

26	4	29	6	6	6	26	29	6	12	0

32	4	29	5	4	5	32	29	2	2	2

32	3	28	4	9	3	32	28	2	3	2

30	6	33	5	9	6	30	33	5	21	4

29	6	30	7	8	10	29	30	4	23	3

30	3	25	8	6	9	30	25	1	15	2

30	2	16	8	9	7	30	16	1	4	3

30	2	16	6	8	3	30	16	3	2	2

21	3	22	6	6	2	21	22	3	1	1

31	2	24	7	5	3	31	24	1	3	0

31	2	15	8	3	2	31	15	1	4	2

29	3	14	5	5	3	29	14	2	3	2

28	1	12	5	3	8	28	12	2	2	1

30	1	22	3	2	7	30	22	1	1	0

29	1	16	3	1	6	29	16	0	4	0

30	3	22	0	3	0	30	22	0	4	0

30	4	21	2	5	0	30	21	2	5	1

32	4	21	3	7	6	32	21	3	1	3

32	4	24	8	7	7	32	24	2	2	2

32	4	16	5	6	9	32	16	0	6	5

31	6	21	6	7	6	31	21	3	6	3

30	6	24	2	6	6	30	24	5	4	2

29	4	25	5	4	4	29	25	6	2	0

32	2	27	4	3	3	32	27	3	2	1

31	1	19	4	3	3	31	19	3	2	1

31	1	20	2	4	7	31	20	3	1	1

30	4	26	4	5	6	30	26	3	1	1

33	4	26	6	3	5	33	26	2	4	1

32	3	23	6	4	4	32	23	0	4	3

30	3	25	4	2	4	30	25	2	3	4

23	6	26	4	4	5	23	26	2	1	3

31	7	33	7	5	6	31	33	3	1	1

34	2	35	5	4	2	34	35	3	4	0

34	4	34	4	2	2	34	34	5	3	2

29	5	27	1	2	1	29	27	4	5	3

30	2	17	1	2	2	30	17	6	2	4

30	8	20	3	4	2	30	20	5	4	2

31	7	20	4	4	4	31	20	5	5	2

45	18	33	7	9	3	45	33	10	7	8

51	20	35	10	15	12	51	35	8	7	9

40	17	39	16	17	14	40	39	9	32	8

34	11	36	14	7	13	34	36	4	36	6

33	5	34	15	10	11	33	34	5	19	8

33	11	32	12	8	6	33	32	9	9	8

32	11	35	13	10	10	32	35	10	8	3

34	8	34	12	5	10	34	34	14	10	6

43	10	31	12	11	10	43	31	22	7	8

33	8	19	12	15	10	33	19	20	9	8

32	9	21	14	9	10	32	21	12	10	4

32	12	28	12	8	10	32	28	18	8	5

33	10	24	11	4	11	33	24	27	12	8

43	17	18	8	10	8	43	18	23	10	11

42	17	23	6	17	7	42	23	24	8	12

62	16	25	11	22	11	62	25	17	8	10

45	17	23	11	25	14	45	23	19	10	10

36	21	17	12	22	13	36	17	31	19	9

53	15	24	17	30	15	53	24	30	19	8

59	15	22	16	24	16	59	22	19	13	5

63	25	21	20	14	13	63	21	20	19	9

47	19	19	17	18	11	47	19	30	28	9

42	21	19	19	13	15	42	19	22	21	5

48	23	21	18	18	12	48	21	20	25	6

40	13	16	15	29	8	40	16	23	20	6

46	21	16	18	24	12	46	16	16	17	6

46	21	17	19	12	14	46	17	20	17	4

35	13	16	17	7	7	35	16	15	7	4

32	7	15	10	5	6	32	15	10	6	5

32	3	10	6	4	2	32	10	5	6	6

33	7	18	4	7	5	33	18	22	15	8

46	15	23	10	14	8	46	23	21	17	7

52	16	20	12	16	11	52	20	12	13	8

49	13	16	14	14	9	49	16	5	14	9

33	10	13	11	9	11	33	13	10	12	5

30	12	15	13	10	14	30	15	14	21	5

38	14	15	15	8	12	38	15	12	24	5

42	11	11	11	12	12	42	11	12	7	5

44	10	16	11	9	9	44	16	12	15	5

38	14	19	15	9	15	38	19	12	17	4

46	14	18	12	18	13	46	18	16	28	7

