29	2	11	2	1	0	29	11	0	3	0

28	3	11	2	4	0	28	11	0	2	1

18	1	2	0	4	0	18	2	0	0	2

27	0	2	0	4	1	27	2	2	0	1

29	2	2	2	4	2	29	2	2	1	0

29	2	3	4	2	3	29	3	2	1	0

29	1	3	5	1	4	29	3	1	1	0

28	2	5	3	2	3	28	5	1	0	0

30	4	6	1	1	2	30	6	0	1	0

30	2	5	2	2	1	30	5	0	2	1

29	4	5	2	1	1	29	5	0	4	0

27	3	1	1	1	2	27	1	0	4	1

27	4	2	2	2	3	27	2	1	2	1

30	2	9	1	3	3	30	9	3	1	1

20	4	16	3	2	3	20	16	4	0	0

27	2	16	3	1	4	27	16	2	0	0

26	2	16	4	1	4	26	16	1	0	0

28	2	9	3	1	2	28	9	0	1	0

28	1	8	5	2	1	28	8	1	1	1

27	0	1	4	3	1	27	1	1	1	1

20	2	1	3	3	1	20	1	2	0	1

28	3	2	3	2	3	28	2	2	0	0

28	2	4	3	2	3	28	4	1	0	0

27	0	4	1	1	3	27	4	0	1	0

36	1	2	1	0	3	36	2	1	1	0

26	2	2	1	0	2	26	2	0	1	0

27	1	2	1	1	2	27	2	2	0	1

27	2	2	1	1	1	27	2	4	0	1

27	2	2	0	1	2	27	2	4	1	1

28	2	4	2	1	1	28	4	3	1	1

27	2	5	12	0	1	27	5	0	2	0

28	0	6	13	0	1	28	6	1	4	0

28	3	3	10	2	1	28	3	2	4	2

30	4	3	1	4	1	30	3	2	3	3

28	2	1	2	5	1	28	1	1	0	3

29	0	8	2	4	3	29	8	2	0	1

30	2	7	3	4	3	30	7	2	1	0

28	3	7	2	2	3	28	7	2	0	0

28	2	2	3	1	1	28	2	0	0	0

28	4	5	1	1	1	28	5	0	1	0

29	2	6	2	1	0	29	6	0	3	0

28	1	4	4	0	0	28	4	0	4	0

29	1	2	3	1	0	29	2	0	5	0

27	2	1	2	2	0	27	1	0	2	0

28	3	2	3	2	1	28	2	1	1	0

28	1	1	3	1	1	28	1	2	0	0

28	3	3	2	1	2	28	3	2	0	0

27	2	4	2	2	3	27	4	1	0	0

28	0	5	1	3	2	28	5	0	1	0

30	0	4	1	3	0	30	4	0	2	1

28	2	3	1	2	0	28	3	0	2	1

28	1	1	2	3	0	28	1	1	0	2

28	1	1	2	3	1	28	1	2	0	1

27	1	3	2	4	0	27	3	2	1	0

26	0	4	3	3	1	26	4	2	1	0

26	0	4	5	2	2	26	4	1	1	1

28	0	2	5	0	1	28	2	1	3	1

28	0	1	3	1	1	28	1	1	3	2

27	0	0	0	0	0	27	0	2	2	2

27	1	1	0	0	0	27	1	3	0	1

29	0	1	0	1	2	29	1	4	0	1

29	0	4	0	1	2	29	4	2	0	0

27	2	5	0	3	1	27	5	2	0	0

28	1	5	1	1	0	28	5	1	3	0

28	3	3	1	3	0	28	3	4	3	2

31	14	5	7	6	2	31	5	4	4	3

34	17	5	11	6	6	34	5	16	1	5

34	6	6	12	7	9	34	6	15	2	3

34	4	8	10	8	8	34	8	28	2	2

25	8	10	11	6	7	25	10	21	1	1

35	9	14	11	7	6	35	14	25	2	2

34	8	13	11	5	7	34	13	13	2	2

34	7	14	7	5	5	34	14	8	4	1

34	3	10	6	5	6	34	10	1	6	1

34	4	6	4	5	4	34	6	1	5	4

35	3	4	4	5	4	35	4	1	4	5

32	6	5	4	6	4	32	5	5	1	3

30	6	7	1	4	5	30	7	4	2	1

31	4	9	4	2	6	31	9	3	1	0

33	6	11	7	2	19	33	11	1	11	0

32	4	8	10	3	17	32	8	0	13	1

28	5	7	6	4	16	28	7	0	13	1

31	4	4	5	3	3	31	4	0	2	2

30	4	5	5	4	4	30	5	2	0	1

29	3	6	5	4	6	29	6	2	1	0

29	2	7	5	3	6	29	7	2	0	0

29	3	8	7	2	4	29	8	0	0	0

29	4	7	7	2	2	29	7	0	1	1

28	4	6	5	1	2	28	6	1	2	1

27	2	5	3	2	1	27	5	2	2	3

27	5	5	4	2	0	27	5	2	1	4

29	3	7	6	2	3	29	7	5	1	2

30	2	9	7	1	3	30	9	4	12	0

30	3	11	8	2	4	30	11	4	13	1

31	5	12	10	2	4	31	12	1	25	1

30	8	9	11	10	6	30	9	6	15	2

33	8	5	6	12	4	33	5	7	13	3

39	6	6	8	14	6	39	6	9	0	5

39	6	5	5	7	7	39	5	5	0	4

31	5	5	6	5	7	31	5	5	0	1

31	5	5	4	5	5	31	5	2	0	0

31	5	8	4	4	1	31	8	3	9	2

42	14	11	6	11	3	42	11	1	11	3

46	15	13	7	10	5	46	13	2	12	2

44	8	11	10	14	6	44	11	1	6	2

49	9	9	8	13	3	49	9	7	6	4

48	8	7	8	20	4	48	7	15	2	5

40	7	7	5	18	8	40	7	16	3	4

42	13	9	6	18	11	42	9	13	11	3

39	21	12	8	17	11	39	12	17	12	1

41	7	11	9	10	8	41	11	17	1	0

40	6	8	7	9	6	40	8	8	3	1

47	9	8	9	4	6	47	8	9	13	3

48	10	7	9	13	6	48	7	17	12	4

38	7	8	9	13	10	38	8	17	12	3

28	4	14	5	12	9	28	14	11	1	1

36	5	18	6	9	8	36	18	8	1	2

37	15	26	13	14	13	37	26	9	13	3

46	25	17	16	23	17	46	17	10	23	4

28	5	8	12	19	16	28	8	9	14	2

29	4	7	5	5	6	29	7	4	11	1

29	3	7	3	4	7	29	7	6	1	1

28	3	8	5	2	7	28	8	11	2	0

37	8	11	6	2	5	37	11	12	13	1

47	7	10	7	8	6	47	10	16	16	1

47	5	11	8	11	8	47	11	19	17	2

47	4	13	5	13	8	47	13	19	4	2

37	7	20	5	7	7	37	20	2	4	2

30	6	18	4	9	9	30	18	8	11	1

39	7	20	7	9	9	39	20	20	12	1

43	9	15	12	12	8	43	15	20	10	1

31	5	15	14	8	7	31	15	7	1	1

31	5	11	9	8	3	31	11	1	0	0

33	7	13	9	3	3	33	13	8	12	1

44	10	14	7	9	5	44	14	16	13	2

43	8	8	6	10	5	43	8	15	15	3

31	8	7	6	11	5	31	7	8	14	3

37	9	6	5	12	2	37	6	9	12	3

46	14	6	4	13	2	46	6	9	17	3

38	14	8	4	13	5	38	8	3	17	2

40	14	7	6	6	6	40	7	2	17	0

30	6	7	8	7	7	30	7	1	11	0

28	5	6	7	4	4	28	6	1	1	0

26	4	8	7	3	2	26	8	0	1	0

27	2	6	4	4	3	27	6	0	0	0

29	3	7	4	4	2	29	7	3	9	1

30	7	9	4	7	5	30	9	5	11	1

31	6	10	6	7	6	31	10	7	11	3

38	5	9	9	7	9	38	9	18	13	2

46	5	11	12	7	11	46	11	27	12	5

54	7	14	17	6	12	54	14	33	29	4

56	10	15	15	6	8	56	15	25	23	3

58	16	13	12	13	8	58	13	26	14	3

59	23	15	8	15	7	59	15	28	14	4

60	24	13	12	17	12	60	13	37	21	5

59	29	17	14	20	12	59	17	39	41	6

58	30	18	19	31	15	58	18	36	43	4

58	33	19	18	31	15	58	19	36	45	3

63	31	16	20	27	13	63	16	32	46	3

62	31	13	17	23	9	62	13	33	37	6

60	35	14	16	24	9	60	14	34	36	7

62	32	15	14	31	12	62	15	37	42	6

56	26	15	16	37	16	56	15	38	41	4

64	34	19	18	30	18	64	19	31	41	4

63	34	26	22	25	29	63	26	28	25	4

65	36	21	21	26	37	65	21	34	25	5

65	31	21	21	20	31	65	21	33	25	4

55	33	34	19	10	16	55	34	32	33	5

66	35	38	18	10	11	66	38	32	33	6

64	32	38	20	12	11	64	38	34	33	7

66	33	25	19	15	10	66	25	35	41	7

54	35	20	19	15	14	54	20	35	40	6

60	36	30	15	13	14	60	30	36	41	3

63	33	37	19	15	15	63	37	36	41	2

63	30	38	24	12	13	63	38	35	43	3

64	30	28	25	11	12	64	28	34	35	4

60	32	25	21	14	9	60	25	34	36	5

58	31	30	17	18	10	58	30	36	42	6

63	30	27	15	20	14	63	27	37	42	5

55	26	30	15	23	19	55	30	38	42	4

61	36	38	21	33	20	61	38	37	25	3

71	35	45	24	35	18	71	45	36	17	4

79	34	39	25	35	16	79	39	39	28	7

83	50	36	31	41	30	83	36	42	37	17

78	55	45	34	44	42	78	45	50	47	31

87	49	45	32	50	47	87	45	65	46	31

101	56	46	32	52	45	101	46	71	47	21

108	58	48	34	56	46	108	48	71	49	14

111	59	51	39	61	51	111	51	70	52	29

110	64	47	40	62	50	110	47	69	53	32

111	66	45	39	63	49	111	45	69	52	33

114	65	46	39	67	50	114	46	71	51	38

106	64	46	36	69	49	106	46	71	48	38

105	62	46	34	69	49	105	46	70	47	31

105	57	46	33	68	49	105	46	69	47	30

105	59	47	34	70	49	105	47	68	47	36

114	67	51	37	71	48	114	51	68	47	35

104	64	53	35	68	46	104	53	69	43	34

102	53	55	32	66	47	102	55	66	41	34

112	61	54	34	64	44	112	54	64	45	36

112	61	53	33	71	44	112	53	64	51	38

103	62	54	31	76	48	103	54	65	53	39

103	64	57	30	76	55	103	57	66	55	38

103	58	59	33	75	55	103	59	65	55	37

105	59	60	40	75	53	105	60	65	57	38

114	67	60	41	73	54	114	60	65	59	40

112	67	56	39	73	54	112	56	66	60	41

112	67	54	38	77	53	112	54	68	58	42

113	68	56	39	76	53	113	56	69	56	41

114	68	58	39	75	57	114	58	70	56	33

112	69	62	41	75	57	112	62	70	57	26

104	67	63	45	71	55	104	63	69	58	27

106	62	59	41	65	54	106	59	70	60	28

110	61	56	38	68	54	110	56	70	59	30

110	70	56	38	75	52	110	56	71	58	38

118	69	57	38	71	56	118	57	74	57	36

110	67	58	38	73	61	110	58	74	56	32

113	65	59	41	64	60	113	59	70	55	20

118	68	57	42	57	56	118	57	68	38	14

118	65	52	42	50	51	118	52	61	24	25

101	66	44	37	49	48	101	44	55	20	31

100	64	43	32	48	48	100	43	57	14	24

107	66	43	31	45	49	107	43	65	12	9

102	64	44	35	38	48	102	44	52	12	13

92	61	45	36	39	45	92	45	42	20	19

93	65	46	35	47	44	93	46	37	36	15

84	57	47	32	39	45	84	47	37	37	15

91	62	48	30	38	44	91	48	36	23	19

90	59	50	28	39	43	90	50	37	16	24

91	60	50	25	46	42	91	50	37	18	20

92	61	47	26	50	45	92	47	37	16	10

88	37	44	24	37	32	88	44	37	10	8

81	33	42	20	21	19	81	42	36	7	5

80	35	45	23	21	20	80	45	35	8	5

84	34	47	27	30	16	84	47	32	9	4

82	34	46	28	34	12	82	46	31	10	5

85	32	41	23	30	10	85	41	33	10	6

69	33	39	19	21	11	69	39	34	9	6

60	31	39	16	21	20	60	39	36	8	6

58	28	37	13	13	19	58	37	32	6	4

59	26	39	14	10	21	59	39	24	3	3

48	27	39	15	9	13	48	39	7	3	2

38	28	39	15	7	10	38	39	4	4	2

30	27	37	12	8	8	30	37	1	7	2

32	23	35	8	9	5	32	35	3	5	2

30	23	26	3	7	2	30	26	4	3	4

29	16	18	0	7	5	29	18	5	2	4

31	14	3	0	5	6	31	3	5	2	3

37	10	3	1	4	5	37	3	4	1	1

17	3	3	1	2	3	17	3	2	0	0

19	1	3	1	0	3	19	3	1	2	0

29	0	2	1	0	3	29	2	0	3	0

27	0	2	0	0	3	27	2	0	3	0

27	0	3	0	0	2	27	3	1	1	0

19	2	3	0	1	2	19	3	2	0	0

17	2	2	1	1	3	17	2	2	0	0

25	1	2	2	1	3	25	2	1	0	0

26	2	10	5	1	3	26	10	1	0	0

13	3	11	6	1	0	13	11	0	0	0

22	1	19	6	1	2	22	19	0	0	0

26	1	11	3	0	1	26	11	0	0	0

16	2	11	1	0	1	16	11	0	0	0

9	2	3	0	0	0	9	3	0	0	0

8	2	1	0	0	0	8	1	0	1	0

17	1	8	0	0	0	17	8	0	1	0

18	0	7	0	2	0	18	7	3	0	0

21	0	10	0	4	1	21	10	3	9	0

31	0	4	2	4	1	31	4	6	8	0

27	0	6	2	2	2	27	6	4	8	0

26	1	5	5	1	0	26	5	4	0	0

19	1	5	2	0	0	19	5	1	0	0

19	1	6	2	0	0	19	6	0	3	0

26	1	3	1	0	0	26	3	0	12	0

28	1	3	0	1	1	28	3	0	12	0

28	1	4	0	1	2	28	4	0	10	0

25	2	5	0	1	3	25	5	1	0	0

24	2	4	0	1	4	24	4	1	0	0

25	0	5	2	1	4	25	5	0	0	0

26	0	1	2	1	2	26	1	0	0	0

25	0	3	2	1	0	25	3	1	0	0

27	0	4	0	4	1	27	4	1	1	1

28	1	5	0	4	3	28	5	2	1	1

27	1	6	0	4	3	27	6	1	1	1

26	6	4	0	3	4	26	4	1	0	1

27	12	5	1	1	6	27	5	0	0	0

27	8	3	3	1	4	27	3	0	0	0

10	3	4	2	0	1	10	4	0	0	0

3	2	4	1	0	1	3	4	0	0	0

11	2	2	1	0	0	11	2	0	0	0

18	4	17	3	3	0	18	17	0	1	1

28	4	17	3	6	1	28	17	1	1	1

28	1	17	2	7	6	28	17	1	1	0

20	0	5	3	4	6	20	5	1	0	0

12	1	6	5	0	4	12	6	0	0	0

17	3	7	6	0	1	17	7	0	0	0

20	2	10	4	0	0	20	10	0	1	0

27	2	11	4	0	1	27	11	0	3	0

22	3	9	4	0	1	22	9	1	3	1

23	1	7	5	0	1	23	7	1	5	1

28	1	6	3	3	0	28	6	1	2	0

11	2	5	3	4	0	11	5	1	2	0

11	1	4	1	4	0	11	4	1	0	0

20	2	2	1	2	0	20	2	1	0	0

11	0	4	3	0	0	11	4	0	0	0

13	0	4	4	0	2	13	4	0	0	0

20	1	5	3	0	2	20	5	0	0	0

10	2	2	1	0	1	10	2	0	0	0

10	1	1	0	0	1	10	1	0	0	0

17	0	2	0	2	2	17	2	1	1	0

